month,page_group,title,path,metric_label,metric_value,secondary_label,secondary_value,new_users,bounce_rate,avg_engagement_time_label,key_events,source_type
2026-02,resource_pages,"A Year of Progress, Preparedness, and Partnership",/resources/a-year-of-progress-preparedness-and-partnership,Sessions,585,Active Users,485,480,0.0,4s,1751,landing_page
2026-02,resource_pages,All About Different Vaccine Delivery Methods,/resources/all-about-different-vaccine-delivery-methods,Sessions,371,Active Users,337,333,0.0053908355795148,38s,1184,landing_page
2026-02,resource_pages,Empowering Futures – Advancing NCD and HPV Awareness in Nepal,/resources/empowering-futures-advancing-ncd-and-hpv-awareness-in-nepal,Sessions,61,Active Users,41,38,0.0,16s,212,landing_page
2026-02,resource_pages,How Vaccines Protect You and Your Loved Ones,/resources/how-vaccines-protect-you-and-your-loved-ones,Sessions,119,Active Users,95,92,0.0,28s,359,landing_page
2026-02,resource_pages,Sabin Begins Marburg Vaccine Trial in U.S.,/resources/sabin-begins-marburg-vaccine-trial-in-u-s,Sessions,84,Active Users,82,79,0.0,15s,286,landing_page
2026-02,resource_pages,Sabin Vaccine Institute’s Investigational Marburg Vaccine Delivered to Ethiopia for Outbreak Response,/resources/sabin-vaccine-institutes-investigational-marburg-vaccine-delivered-to-ethiopia-for-outbreak-response,Sessions,101,Active Users,93,89,0.0,10s,340,landing_page
2026-02,resource_pages,The Rising Threat of Measles and Vaccine Hesitancy: Q&A with Sabin Gold Medal Winner Dr. Paul Offit,/resources/the-rising-threat-of-measles-vaccine-hesitancy-and-public-health-qa-with-sabin-gold-medal-winner-dr-paul-offit,Sessions,57,Active Users,54,54,0.0,2m 3s,192,landing_page
2026-02,resource_pages,Understanding Pentavalent and Hexavalent Vaccines,/resources/understanding-pentavalent-and-hexavalent-vaccines,Sessions,251,Active Users,234,232,0.0,44s,794,landing_page
2026-02,resource_pages,Understanding Vaccine Types: How They Protect Against Disease,/resources/understanding-vaccine-types-how-they-protect-against-disease,Sessions,103,Active Users,97,95,0.0,1m 9s,348,landing_page
2026-02,resource_pages,"Vaccines 101: Their History, How They Work, and Their Impact",/resources/vaccines-101-their-history-how-they-work-and-their-impact,Sessions,308,Active Users,273,271,0.0,1m 3s,977,landing_page
2026-02,top_pages,"A Year of Progress, Preparedness, and Partnership",/resources/a-year-of-progress-preparedness-and-partnership,Sessions,585,Active Users,485,480,0.0,4s,1751,landing_page
2026-02,top_pages,All About Different Vaccine Delivery Methods,/resources/all-about-different-vaccine-delivery-methods,Sessions,371,Active Users,337,333,0.0053908355795148,38s,1184,landing_page
2026-02,top_pages,Empowering Futures – Advancing NCD and HPV Awareness in Nepal,/resources/empowering-futures-advancing-ncd-and-hpv-awareness-in-nepal,Sessions,61,Active Users,41,38,0.0,16s,212,landing_page
2026-02,top_pages,How Vaccines Protect You and Your Loved Ones,/resources/how-vaccines-protect-you-and-your-loved-ones,Sessions,119,Active Users,95,92,0.0,28s,359,landing_page
2026-02,top_pages,Sabin Begins Marburg Vaccine Trial in U.S.,/resources/sabin-begins-marburg-vaccine-trial-in-u-s,Sessions,84,Active Users,82,79,0.0,15s,286,landing_page
2026-02,top_pages,Sabin Vaccine Institute’s Investigational Marburg Vaccine Delivered to Ethiopia for Outbreak Response,/resources/sabin-vaccine-institutes-investigational-marburg-vaccine-delivered-to-ethiopia-for-outbreak-response,Sessions,101,Active Users,93,89,0.0,10s,340,landing_page
2026-02,top_pages,The Rising Threat of Measles and Vaccine Hesitancy: Q&A with Sabin Gold Medal Winner Dr. Paul Offit,/resources/the-rising-threat-of-measles-vaccine-hesitancy-and-public-health-qa-with-sabin-gold-medal-winner-dr-paul-offit,Sessions,57,Active Users,54,54,0.0,2m 3s,192,landing_page
2026-02,top_pages,Understanding Pentavalent and Hexavalent Vaccines,/resources/understanding-pentavalent-and-hexavalent-vaccines,Sessions,251,Active Users,234,232,0.0,44s,794,landing_page
2026-02,top_pages,Understanding Vaccine Types: How They Protect Against Disease,/resources/understanding-vaccine-types-how-they-protect-against-disease,Sessions,103,Active Users,97,95,0.0,1m 9s,348,landing_page
2026-02,top_pages,"Vaccines 101: Their History, How They Work, and Their Impact",/resources/vaccines-101-their-history-how-they-work-and-their-impact,Sessions,308,Active Users,273,271,0.0,1m 3s,977,landing_page
2026-04,resource_pages,/resources,/resources,Sessions,78,Active Users,76,71,0.0,11s,260,landing_page
2026-04,resource_pages,All About Different Vaccine Delivery Methods,/resources/all-about-different-vaccine-delivery-methods,Sessions,350,Active Users,318,315,0.0,34s,1120,landing_page
2026-04,resource_pages,From COVID-19 to Typhoid: 2026 Sabin Awards Spotlight Vaccine Pioneers,/resources/from-covid-19-to-typhoid-2026-sabin-awards-spotlight-vaccine-pioneers,Sessions,343,Active Users,115,93,0.0058309037900874635,4s,820,landing_page
2026-04,resource_pages,How Vaccines Protect You and Your Loved Ones,/resources/how-vaccines-protect-you-and-your-loved-ones,Sessions,346,Active Users,329,325,0.0,9s,1052,landing_page
2026-04,resource_pages,Sabin Begins Marburg Vaccine Trial in U.S.,/resources/sabin-begins-marburg-vaccine-trial-in-u-s,Sessions,63,Active Users,62,60,0.0,17s,206,landing_page
2026-04,resource_pages,Sabin Vaccine Institute Completes Enrollment in All Phase 2 Clinical Trials for cAd3-Marburg Vaccine and cAd3-Sudan Ebolavirus Vaccine,/resources/sabin-vaccine-institute-completes-enrollment-in-all-phase-2-clinical-trials-for-cad3-marburg-vaccine-and-cad3-sudan-ebolavirus-vaccine,Sessions,80,Active Users,70,59,0.0,20s,254,landing_page
2026-04,resource_pages,Sabin Vaccine Institute Makes New Board Appointments As Two Trustees Complete Terms,/resources/sabin-vaccine-institute-makes-new-board-appointments-as-two-trustees-complete-terms,Sessions,118,Active Users,104,75,0.00847457627118644,47s,422,landing_page
2026-04,resource_pages,Understanding Pentavalent and Hexavalent Vaccines,/resources/understanding-pentavalent-and-hexavalent-vaccines,Sessions,387,Active Users,348,343,0.0,27s,1184,landing_page
2026-04,resource_pages,Understanding Vaccine Types: How They Protect Against Disease,/resources/understanding-vaccine-types-how-they-protect-against-disease,Sessions,166,Active Users,151,151,0.0,14s,544,landing_page
2026-04,resource_pages,"Vaccines 101: Their History, How They Work, and Their Impact",/resources/vaccines-101-their-history-how-they-work-and-their-impact,Sessions,370,Active Users,310,309,0.002702702702702703,50s,1199,landing_page
2026-04,top_pages,/,/,Sessions,2853,Active Users,2529,2381,0.0014020329477742728,32s,12502,landing_page
2026-04,top_pages,/about/opportunities/careers,/about/opportunities/careers,Sessions,1191,Active Users,855,712,0.005877413937867338,23s,4510,landing_page
2026-04,top_pages,/about/our-history/dr-albert-b-sabin,/about/our-history/dr-albert-b-sabin,Sessions,592,Active Users,520,515,0.0,24s,1883,landing_page
2026-04,top_pages,/events/2026-sabin-awards-ceremony/rising-star,/events/2026-sabin-awards-ceremony/rising-star,Sessions,5549,Active Users,4537,4660,0.0,1s,16560,landing_page
2026-04,top_pages,All About Different Vaccine Delivery Methods,/resources/all-about-different-vaccine-delivery-methods,Sessions,350,Active Users,318,315,0.0,34s,1120,landing_page
2026-04,top_pages,From COVID-19 to Typhoid: 2026 Sabin Awards Spotlight Vaccine Pioneers,/resources/from-covid-19-to-typhoid-2026-sabin-awards-spotlight-vaccine-pioneers,Sessions,343,Active Users,115,93,0.0058309037900874635,4s,820,landing_page
2026-04,top_pages,How Vaccines Protect You and Your Loved Ones,/resources/how-vaccines-protect-you-and-your-loved-ones,Sessions,346,Active Users,329,325,0.0,9s,1052,landing_page
2026-04,top_pages,Understanding Pentavalent and Hexavalent Vaccines,/resources/understanding-pentavalent-and-hexavalent-vaccines,Sessions,387,Active Users,348,343,0.0,27s,1184,landing_page
2026-04,top_pages,"Vaccines 101: Their History, How They Work, and Their Impact",/resources/vaccines-101-their-history-how-they-work-and-their-impact,Sessions,370,Active Users,310,309,0.002702702702702703,50s,1199,landing_page
2026-04,top_pages,/sabin-newsletter-archive,/sabin-newsletter-archive,Sessions,405,Active Users,404,407,0.0,1s,1509,landing_page
2026-05,resource_pages,/resources,/resources,Sessions,113,Active Users,102,97,0.0,16s,387,landing_page
2026-05,resource_pages,All About Different Vaccine Delivery Methods,/resources/all-about-different-vaccine-delivery-methods,Sessions,294,Active Users,262,257,0.003401360544217687,27s,924,landing_page
2026-05,resource_pages,From COVID-19 to Typhoid: 2026 Sabin Awards Spotlight Vaccine Pioneers,/resources/from-covid-19-to-typhoid-2026-sabin-awards-spotlight-vaccine-pioneers,Sessions,160,Active Users,115,99,0.0,25s,519,landing_page
2026-05,resource_pages,From Silos to Synergy: First TB–EPI Communities Partnership to Support New TB Vaccines Introduction,/resources/from-silos-to-synergy-first-tb-epi-communities-partnership-to-support-new-tb-vaccines-introduction,Sessions,107,Active Users,89,76,0.0,21s,337,landing_page
2026-05,resource_pages,How Vaccines Protect You and Your Loved Ones,/resources/how-vaccines-protect-you-and-your-loved-ones,Sessions,165,Active Users,146,142,0.0,16s,509,landing_page
2026-05,resource_pages,Noted Vaccine Researchers Uğur Şahin and Özlem Türeci Awarded Sabin Vaccine Institute’s Albert B. Sabin Gold Medal; Genomic Scientist Senjuti Saha of Bangladesh Receives Rising Star Award,/resources/noted-vaccine-researchers-ugur-sahin-and-ozlem-tureci-awarded-sabin-vaccine-institutes-albert-b-sabin-gold-medal-genomic-scientist-senjuti-saha-of-bangladesh-receives-rising-star-award,Sessions,78,Active Users,77,71,0.0,23s,261,landing_page
2026-05,resource_pages,Sabin Vaccine Institute Completes Enrollment in All Phase 2 Clinical Trials for cAd3-Marburg Vaccine and cAd3-Sudan Ebolavirus Vaccine,/resources/sabin-vaccine-institute-completes-enrollment-in-all-phase-2-clinical-trials-for-cad3-marburg-vaccine-and-cad3-sudan-ebolavirus-vaccine,Sessions,129,Active Users,118,108,0.007751937984496124,47s,483,landing_page
2026-05,resource_pages,Understanding Pentavalent and Hexavalent Vaccines,/resources/understanding-pentavalent-and-hexavalent-vaccines,Sessions,337,Active Users,322,320,0.0,33s,1072,landing_page
2026-05,resource_pages,Understanding Vaccine Types: How They Protect Against Disease,/resources/understanding-vaccine-types-how-they-protect-against-disease,Sessions,153,Active Users,115,112,0.0,20s,452,landing_page
2026-05,resource_pages,"Vaccines 101: Their History, How They Work, and Their Impact",/resources/vaccines-101-their-history-how-they-work-and-their-impact,Sessions,422,Active Users,334,329,0.0071090047393364926,38s,1313,landing_page
2026-05,top_pages,/,/,Sessions,1855,Active Users,1587,1482,0.0,34s,7868,landing_page
2026-05,top_pages,/about/opportunities/careers,/about/opportunities/careers,Sessions,571,Active Users,383,281,0.0,26s,2050,landing_page
2026-05,top_pages,/about/our-history/dr-albert-b-sabin,/about/our-history/dr-albert-b-sabin,Sessions,271,Active Users,229,221,0.0,38s,908,landing_page
2026-05,top_pages,/about/our-people,/about/our-people,Sessions,295,Active Users,276,242,0.003389830508474576,34s,1330,landing_page
2026-05,top_pages,/events/2026-sabin-awards-ceremony,/events/2026-sabin-awards-ceremony,Sessions,259,Active Users,176,133,0.003861003861003861,39s,916,landing_page
2026-05,top_pages,All About Different Vaccine Delivery Methods,/resources/all-about-different-vaccine-delivery-methods,Sessions,294,Active Users,262,257,0.003401360544217687,27s,924,landing_page
2026-05,top_pages,How Vaccines Protect You and Your Loved Ones,/resources/how-vaccines-protect-you-and-your-loved-ones,Sessions,165,Active Users,146,142,0.0,16s,509,landing_page
2026-05,top_pages,Understanding Pentavalent and Hexavalent Vaccines,/resources/understanding-pentavalent-and-hexavalent-vaccines,Sessions,337,Active Users,322,320,0.0,33s,1072,landing_page
2026-05,top_pages,"Vaccines 101: Their History, How They Work, and Their Impact",/resources/vaccines-101-their-history-how-they-work-and-their-impact,Sessions,422,Active Users,334,329,0.0071090047393364926,38s,1313,landing_page
2026-05,top_pages,/sabin-newsletter-archive,/sabin-newsletter-archive,Sessions,376,Active Users,377,377,0.0,1s,1499,landing_page
